epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,2308.26,0.61865,0.48479,1.06661,0.7691,0.79841,0.84861,0.79218,0.39466,0.84516,0.92895,0.000270064,0.000270064,0.000270064
73,2340.47,0.60175,0.4691,1.05823,0.81288,0.73176,0.90226,0.8479,0.40429,0.97544,0.9233,0.000261065,0.000261065,0.000261065
74,2372.41,0.60555,0.46963,1.05903,0.755,0.81102,0.88251,0.81791,0.41469,0.76797,0.94326,0.000252066,0.000252066,0.000252066
75,2404.43,0.60752,0.47425,1.06072,0.79877,0.81049,0.89225,0.8278,0.42344,0.73876,0.96637,0.000243067,0.000243067,0.000243067
76,2436.38,0.61393,0.47566,1.06483,0.78924,0.78711,0.90878,0.85109,0.38073,0.88627,0.92193,0.000234068,0.000234068,0.000234068
77,2468.15,0.61349,0.466,1.06254,0.72753,0.84671,0.91767,0.8555,0.4163,0.7937,0.93825,0.000225068,0.000225068,0.000225068
78,2500.05,0.60357,0.46287,1.05141,0.91493,0.76988,0.95524,0.89478,0.39783,0.59948,0.94049,0.000216069,0.000216069,0.000216069
79,2532.44,0.58595,0.46206,1.05047,0.78064,0.80742,0.92812,0.86935,0.38713,0.79289,0.91712,0.00020707,0.00020707,0.00020707
80,2564.7,0.57949,0.45179,1.04424,0.74699,0.88336,0.89471,0.83385,0.40156,0.68327,0.93487,0.000198071,0.000198071,0.000198071
81,2596.68,0.57499,0.44156,1.03922,0.74936,0.85209,0.90156,0.83909,0.39831,0.76179,0.94777,0.000189072,0.000189072,0.000189072
82,2628.98,0.569,0.44385,1.04159,0.74779,0.88627,0.88078,0.82652,0.39542,0.65883,0.93642,0.000180073,0.000180073,0.000180073
83,2661.45,0.57285,0.44968,1.03922,0.78177,0.85487,0.85561,0.7971,0.41527,0.69306,0.9628,0.000171074,0.000171074,0.000171074
84,2693.43,0.56213,0.44076,1.04172,0.83642,0.73618,0.91366,0.85881,0.41109,0.84978,0.95465,0.000162075,0.000162075,0.000162075
85,2725.32,0.56336,0.43199,1.03861,0.74737,0.82196,0.87794,0.82177,0.40488,0.79427,0.95364,0.000153076,0.000153076,0.000153076
86,2757.35,0.56854,0.4437,1.03849,0.72571,0.87285,0.93267,0.8734,0.37759,0.674,0.92503,0.000144077,0.000144077,0.000144077
87,2788.98,0.55405,0.43538,1.03336,0.78668,0.84379,0.91809,0.8639,0.37758,0.60679,0.92496,0.000135077,0.000135077,0.000135077
88,2821.05,0.56256,0.43915,1.03686,0.7782,0.84773,0.94988,0.88784,0.40001,0.66655,0.93757,0.000126078,0.000126078,0.000126078
89,2852.76,0.54681,0.43741,1.03237,0.77598,0.80614,0.93805,0.8755,0.38274,0.72689,0.92415,0.000117079,0.000117079,0.000117079
90,2884.89,0.53888,0.41959,1.0274,0.77999,0.82762,0.93698,0.87582,0.38526,0.67014,0.93017,0.00010808,0.00010808,0.00010808
91,2915.64,0.48164,0.34837,1.00824,0.76337,0.84939,0.91532,0.86588,0.37768,0.74845,0.90921,9.9081e-05,9.9081e-05,9.9081e-05
92,2946.07,0.46614,0.32668,0.99906,0.80395,0.81194,0.91239,0.86045,0.38845,0.62187,0.9204,9.00819e-05,9.00819e-05,9.00819e-05
93,2976.09,0.45607,0.32605,0.98651,0.79284,0.76348,0.91003,0.85687,0.38522,0.83883,0.92455,8.10828e-05,8.10828e-05,8.10828e-05
94,3005.95,0.44871,0.31676,0.97644,0.74414,0.81662,0.92515,0.87576,0.37967,0.78262,0.916,7.20837e-05,7.20837e-05,7.20837e-05
95,3035.84,0.44207,0.31368,0.97021,0.73575,0.79819,0.93308,0.88252,0.37489,0.85569,0.91241,6.30846e-05,6.30846e-05,6.30846e-05
96,3066.71,0.43617,0.31119,0.97669,0.76609,0.76634,0.91041,0.86138,0.37572,0.96856,0.91681,5.40855e-05,5.40855e-05,5.40855e-05
97,3097.96,0.42982,0.3071,0.96477,0.79259,0.79725,0.92459,0.87271,0.37306,0.80006,0.91656,4.50864e-05,4.50864e-05,4.50864e-05
98,3128.41,0.4203,0.3099,0.97238,0.76852,0.78729,0.91373,0.86086,0.36876,0.8761,0.91676,3.60873e-05,3.60873e-05,3.60873e-05
99,3158.77,0.4191,0.30442,0.97019,0.80374,0.7564,0.9376,0.89069,0.3701,0.85152,0.90927,2.70882e-05,2.70882e-05,2.70882e-05
100,3189.23,0.41707,0.30166,0.9577,0.75654,0.79181,0.94243,0.89289,0.36216,0.83582,0.90275,1.80891e-05,1.80891e-05,1.80891e-05
