epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,3196.95,0.64685,0.5507,1.08777,0.87402,0.92253,0.95146,0.8822,0.60044,0.65452,1.11995,0.000494873,0.000494873,0.000494873
64,3247.46,0.63241,0.53821,1.08623,0.89846,0.90474,0.9489,0.87,0.60123,0.60585,1.11781,0.000491339,0.000491339,0.000491339
65,3297.74,0.65068,0.55086,1.09307,0.92204,0.89648,0.95646,0.87809,0.63951,0.5259,1.1478,0.000487805,0.000487805,0.000487805
66,3348.25,0.63464,0.53941,1.08583,0.92222,0.90444,0.95449,0.87885,0.64765,0.5835,1.17711,0.000484271,0.000484271,0.000484271
67,3398.52,0.63205,0.53829,1.08644,0.92101,0.92947,0.96318,0.89092,0.669,0.53093,1.23636,0.000480736,0.000480736,0.000480736
68,3448.72,0.62202,0.53476,1.07653,0.89415,0.89935,0.9486,0.87519,0.61114,0.62386,1.13091,0.000477202,0.000477202,0.000477202
69,3498.8,0.63643,0.5399,1.08795,0.86377,0.92171,0.94754,0.8727,0.57564,0.62797,1.06504,0.000473668,0.000473668,0.000473668
70,3549.08,0.6175,0.52894,1.07068,0.90227,0.9336,0.95767,0.88714,0.59642,0.57477,1.10802,0.000470133,0.000470133,0.000470133
71,3599.2,0.60251,0.50571,1.06702,0.87329,0.90607,0.94695,0.86494,0.63181,0.64356,1.14203,0.000466599,0.000466599,0.000466599
72,3649.55,0.61429,0.52887,1.07809,0.91903,0.91532,0.9514,0.87489,0.6096,0.65713,1.14155,0.000463065,0.000463065,0.000463065
73,3699.82,0.6148,0.51797,1.06979,0.92515,0.94337,0.95997,0.88666,0.58167,0.56823,1.04936,0.00045953,0.00045953,0.00045953
74,3749.9,0.60798,0.51663,1.06612,0.90785,0.92476,0.96028,0.88295,0.60665,0.57295,1.09705,0.000455996,0.000455996,0.000455996
75,3799.84,0.60359,0.51408,1.06334,0.90054,0.89144,0.94896,0.86941,0.6091,0.68625,1.11334,0.000452462,0.000452462,0.000452462
76,3849.96,0.60915,0.5105,1.06832,0.88284,0.92594,0.95595,0.88795,0.5852,0.63823,1.0615,0.000448928,0.000448928,0.000448928
77,3900.1,0.60965,0.50783,1.07286,0.90222,0.90931,0.95086,0.87058,0.57612,0.57625,1.09425,0.000445393,0.000445393,0.000445393
78,3950.42,0.60085,0.50717,1.06025,0.9134,0.92914,0.95845,0.87867,0.58675,0.54603,1.13196,0.000441859,0.000441859,0.000441859
79,4000.48,0.60113,0.49568,1.06398,0.90878,0.91153,0.95339,0.87621,0.61429,0.57431,1.14721,0.000438325,0.000438325,0.000438325
80,4050.65,0.60477,0.50797,1.06539,0.92284,0.92417,0.95615,0.89237,0.55141,0.50923,1.08442,0.00043479,0.00043479,0.00043479
81,4102.89,0.60768,0.51323,1.07265,0.92512,0.89512,0.95148,0.88895,0.58212,0.55056,1.09352,0.000431256,0.000431256,0.000431256
82,4153.39,0.627,0.51757,1.07726,0.88557,0.85054,0.9401,0.87934,0.55797,0.7059,1.07246,0.000427722,0.000427722,0.000427722
83,4203.35,0.59252,0.48007,1.05957,0.94047,0.90269,0.95571,0.88745,0.64961,0.55145,1.15723,0.000424187,0.000424187,0.000424187
84,4253.12,0.58024,0.48786,1.04868,0.93924,0.9128,0.96048,0.88111,0.55161,0.61033,1.06206,0.000420653,0.000420653,0.000420653
85,4302.84,0.5836,0.4997,1.05682,0.95063,0.92138,0.95848,0.88745,0.58621,0.5269,1.12908,0.000417119,0.000417119,0.000417119
86,4352.57,0.59102,0.48443,1.0641,0.97729,0.89785,0.96383,0.88934,0.58338,0.53573,1.09634,0.000413584,0.000413584,0.000413584
87,4402.54,0.57977,0.4862,1.05546,0.94646,0.90086,0.95755,0.88658,0.61835,0.57257,1.17216,0.00041005,0.00041005,0.00041005
88,4452.4,0.57253,0.47982,1.04418,0.91823,0.90547,0.9506,0.881,0.58455,0.73312,1.09627,0.000406516,0.000406516,0.000406516
89,4502.33,0.5779,0.47898,1.04917,0.92693,0.93472,0.96231,0.89571,0.58493,0.54197,1.07878,0.000402982,0.000402982,0.000402982
90,4552.13,0.5723,0.47963,1.05052,0.90746,0.92042,0.95337,0.88178,0.6261,0.56209,1.19915,0.000399447,0.000399447,0.000399447
91,4601.99,0.57332,0.47013,1.04806,0.92715,0.93596,0.96235,0.892,0.56935,0.56353,1.08074,0.000395913,0.000395913,0.000395913
92,4652.01,0.58815,0.48678,1.06024,0.93031,0.92452,0.95616,0.88727,0.55204,0.52751,1.05932,0.000392379,0.000392379,0.000392379
93,4701.72,0.57898,0.48214,1.04751,0.92365,0.91336,0.95744,0.89109,0.60368,0.55403,1.10516,0.000388844,0.000388844,0.000388844
94,4751.6,0.57753,0.48281,1.05079,0.92072,0.94411,0.9594,0.89041,0.59055,0.58276,1.06185,0.00038531,0.00038531,0.00038531
95,4801.22,0.57731,0.47304,1.0468,0.95171,0.91848,0.96018,0.90095,0.605,0.52901,1.17048,0.000381776,0.000381776,0.000381776
96,4851,0.57065,0.47832,1.04793,0.94957,0.92882,0.96642,0.89063,0.5587,0.50164,1.06132,0.000378242,0.000378242,0.000378242
97,4901.33,0.56646,0.46395,1.0486,0.94313,0.93838,0.9661,0.88565,0.53117,0.51149,1.05859,0.000374707,0.000374707,0.000374707
98,4951.16,0.57061,0.47252,1.04676,0.92623,0.91229,0.9507,0.87429,0.57342,0.52862,1.1231,0.000371173,0.000371173,0.000371173
99,5001.33,0.56947,0.45981,1.04322,0.92201,0.92505,0.95631,0.89062,0.55806,0.57928,1.05899,0.000367639,0.000367639,0.000367639
